,x
1,"A slate of 10 Democrats vying to become their party’s nominee for president faced one another on Wednesday in Miami, the first of two nights of debate among the 2020 candidates. Below is a transcript of the two-hour event, which we’ll update throughout the night. Click on the yellow highlighted text to see highlights from the Fix via Genius. "
2,[Democrats debate: Highlights and how to watch]
3,"NBC ANCHOR SAVANNAH GUTHRIE: All right. So with that business out of the way, we want to get to it. And we’ll start this evening with Senator Elizabeth Warren."
4,"Senator, good evening to you."
5,SEN. ELIZABETH WARREN (D-MASS.): Thank you. Good to be here.
6,"GUTHRIE: You have many plans — free college, free child care, government health care, cancellation of student debt, new taxes, new regulations, the breakup of major corporations. But this comes at a time when 71 percent of Americans say the economy is doing well, including 60 percent of Democrats. What do you say to those who worry this kind of significant change could be risky to the economy?"
7,WARREN: So I think of it this way. Who is this economy really working for? It's doing great for a thinner and thinner slice at the top. It's doing great for giant drug companies. It's just not doing great for people who are trying to get a prescription filled.
8,"It's doing great for people who want to invest in private prisons, just not for the African Americans and Latinx whose families are torn apart, whose lives are destroyed, and whose communities are ruined."
9,"It's doing great for giant oil companies that want to drill everywhere, just not for the rest of us who are watching climate change bear down upon us."
10,"When you've got a government, when you've got an economy that does great for those with money and isn't doing great for everyone else, that is corruption, pure and simple. We need to call it out. We need to attack it head on. And we need to make structural change in our government, in our economy, and in our country."
11,(APPLAUSE)
12,"GUTHRIE: Senator Klobuchar, you've called programs like free college something you might do if you were, quote, “a magic genie.” To be blunt, are the government programs and benefits that some of your rivals are offering giving your voters, people, a false sense of what's actually achievable?"
13,"SEN. AMY KLOBUCHAR (D-MINN): Well, first, the economy. We know that not everyone is sharing in this prosperity. And Donald Trump just sits in the White House and gloats about what’s going on, when you have so many people that are having trouble affording college and having trouble affording their premiums."
14,"So I do get concerned about paying for college for rich kids. I do. But I think my plan is a good one. And my plan would be to, first of all, make community college free and make sure that everyone else besides that top percentile gets help with their education."
15,"My own dad and my sister got their first degrees with community college. There's many paths to success, as well as certifications."
16,"Secondly, I'd used Pell grants. I'd double them from $6,000 to $12,000 a year and expand it to the number of families that get covered, to families that make up to $100,000."
17,"And then the third thing I would do is make it easier for students to pay off their student loans. Because I can tell you this: If billionaires can pay off their yachts, students should be able to pay off their student loans."
18,"GUTHRIE: That's time, thank you."
19,(APPLAUSE)
20,"Congressman O'Rourke, what we've just been discussing and talking about is how much fundamental change to the economy is desirable and how much is actually doable. In that vein, some Democrats want a marginal individual tax rate of 70 percent on the very highest earners, those making more than $10 million a year. Would you support that? And if not, what would your top individual rate be?"
21,"O'ROURKE: This economy has got to work for everyone. And right now, we know that it isn't. And it's going to take all of us coming together to make sure that it does."
22,(SPEAKING IN SPANISH)
23,"O’ROURKE: Right now, we have a system that favors those who can pay for access and outcomes. That’s how you explain an economy that is rigged to corporations and to the very wealthiest. A $2 trillion tax cut that favored corporations while they were sitting on record piles of cash and the very wealthiest in this country at a time of historic wealth inequality."
24,"A new democracy that is revived because we've returned power to the people, no PACs, no gerrymandering, automatic and same-day voter registration to bring in more voters, and a new Voting Rights Act to get rid of the barriers that are in place now . . ."
25,GUTHRIE: Congressman O’Rourke . . .
26,BETO O’ROURKE: That’s how we each have a voice in our democracy and make this economy work for everybody.
27,"GUTHRIE: Congressman, that's time, sir."
28,(APPLAUSE)
29,"I'll give you 10 seconds to answer if you want to answer the direct question. Would you support a 70 percent individual marginal tax rate? Yes, no, or pass?"
30,O'ROURKE: I would support a tax rate and a tax code that is fair to everyone. Tax capital at the same right . . .
31,GUTHRIE: Seventy percent?
32,O'ROURKE: . . . that you — you tax ordinary income. Take that corporate tax rate up to 28 percent. You would generate the revenues . . .
33,"GUTHRIE: okay, that's time."
34,O'ROURKE: . . . you need to pay for the programs we're talking about.
35,GUTHRIE: That's time. Thank you.
36,"Senator Booker, there is a debate in this party right now about the role of corporations, as you know. Senator Warren in particular put out a plan to break up tech companies like Facebook, Amazon, and Google. You’ve said we should not, quote, “be running around pointing at companies and breaking them up without any kind of process."" Why do you disagree?"
37,"SEN. CORY BOOKER (D-N.J.): I don’t think I disagree. I think we have a serious problem in our country with corporate consolidation. And you see the evidence of that in how dignity is being stripped from labor, and we have people that work full-time jobs and still can’t make a living wage."
38,We see that because consumer prices are being raised by pharmaceutical companies that often have monopolistic holds on drugs. And you see that by just the fact that this is actually an economy that's hurting small businesses and not allowing them to compete.
39,One of the most aggressive bills in the Senate to deal with corporate consolidation is mine about corporate consolidation in the ag sector. So I feel very strongly about the need to check the corporate consolidation and let the free market work.
40,"And I’ll tell you this. I live in a low-income black and brown community. I see every single day that this economy is not working for average Americans. The indicators that are being used, from GDP to Wall Street’s rankings, is not helping people in my community. It is about time that we have an economy that works for everybody, not just the wealthiest in our nation."
41,"GUTHRIE: But quickly, Senator Booker, you did say that you didn't think it was right to name names, to name companies and single them out, as Senator Warren has. Briefly, why is that?"
42,"BOOKER: Well, again, I will single out companies like Halliburton or Amazon that pay nothing in taxes and our need to change that. And when it comes to antitrust law, what I will do is, number one, appoint judges that will enforce it, number two, have a DOJ and a Federal Trade Commission that will go through the processes necessary to check this kind of corporate concentration."
43,"At the end of the day, we have too much of a problem with corporate power growing. We see that with everything from Citizens United and the way they’re trying to influence Washington. It’s about time that we have a president that fights for the people in this country . . ."
44,"GUTHRIE: That's time, sir."
45,BOOKER: We need to have someone that's a champion for them.
46,"GUTHRIE: Thank you, Senator. Senator Warren, I mentioned you . . ."
47,(APPLAUSE)
48,GUTHRIE: Are you picking winners and losers?
49,"WARREN: So the way I understand this, it's there is way too much consolidation now in giant industries in this country. That hurts workers. It hurts small businesses. It hurts independent farmers. It hurts our economy overall."
50,And it helps constrict real innovation and growth in this economy.
51,"Now, look, we've had the laws out there for a long time to be able to fight back. What's been missing is courage, courage in Washington to take on the giants. That's part of the corruption in this system."
52,"It has been far too long that the monopolies have been making the campaign contributions, have been funding the super PACs, have been out there making sure that their influence is heard and felt in every single decision that gets made in Washington. Where I want to start this is I want to return government to the people, and that means calling out the names of the monopolists and saying I have the courage to go after them."
53,GUTHRIE: Thank you.
54,(APPLAUSE)
55,"NBC HOST LESTER HOLT: Secretary Castro, the next question is for you. Democrats have been talking about the pay gap for decades. What would you do to ensure that women are paid fairly in this country?"
