"","x"
"1","For the second night in a row, a field of 10 Democrats who want to be their party’s nominee for president debated on stage in Miami. Here are highlights from the debate, here are The Fix’s winners and losers, and below is the full transcript of the debate."
"2","[Full transcript: Night one of the Democratic presidential debate]"
"3","NBC ANCHOR SAVANNAH GUTHRIE: So, with that business taken care of, let’s get to it. And we’re going to start today with Senator Sanders. Good evening to you."
"4","You've called for big, new government benefits, like universal health care and free college. In a recent interview, you said you suspected that Americans would be, quote, “delighted” to pay more taxes for things like that. My question to you is, will taxes go up for the middle class in a Sanders administration? And if so, how do you sell that to voters?"
"5","SEN. BERNIE SANDERS (I-VT.): Well, you’re quite right. We have a new vision for America. And at a time when we have three people in this country owning more wealth than the bottom half of America, while 500,000 people are sleeping out on the streets today, we think it is time for change, real change."
"6","And by that, I mean that health care in my view is a human right. And we have got to pass a Medicare-for-all, single-payer system."
"7","(APPLAUSE)"
"8","Under that system, by the way, vast majority of the people in this country will be paying significantly less for health care than they are right now."
"9","I believe that education is the future for this country. And that is why I believe that we must make public colleges and universities tuition-free and eliminate student debt. And we do that by placing a tax on Wall Street."
"10","(APPLAUSE)"
"11","Every proposal that I have brought forth is fully paid for."
"12","GUTHRIE: Senator Sanders, I’ll give you 10 seconds just to ask the -- answer the very direct question. Will you raise taxes for the middle class in a Sanders administration?"
"13","SANDERS: People who have health care under Medicare-for-all will have no premiums, no deductibles, no co-payments, no out-of-pocket expenses. Yes, they will pay more in taxes, but less in health care for what they get."
"14","(APPLAUSE)"
"15","GUTHRIE: Thank you, Senator."
"16","(CROSSTALK)"
"17","GUTHRIE: Senator Bennet, we’re going to get to everybody, I promise."
"18","SEN. MICHAEL F. BENNET (D-COLO.): No, I’d like to say something."
"19","GUTHRIE: But let me just -- Senator Biden -- promise everybody's going to get in here, promise. Vice President Biden, Senator Sanders, as you know, has been calling for a revolution. Recently in remarks to a group of wealthy donors, as you were speaking about problem of income inequality in this country, you said we shouldn't, quote, “demonize the rich.” You said, “Nobody has to be punished. No one's standard of living would change. Nothing would fundamentally change.” What did you mean by that?"
"20","FORMER VICE PRESIDENT JOE BIDEN: What I meant by that is, look, Donald Trump thinks Wall Street built America."
"21","Ordinary, middle-class Americans built America. My dad used to have an expression. He said, Joe, a job is about a lot more than a paycheck. It's about your dignity. It's about respect. It's being able to look your kid in the eye and say everything is going to be okay."
"22","Too many people who are at the middle class and poor have had the bottom fall out under this proposal. What I’m saying is that we’ve got to be straightforward. We have to make sure we understand that to return dignity to the middle class, they have to have insurance that is covered and they can afford it. They have to make sure that we have a situation where there’s continuing education and they’re able to pay for it. And they have to make sure that they’re able to breathe air that is clean and they have water that they can drink."
"23","Look, Donald Trump has put us in a horrible situation. We do have enormous income inequality. And the one thing I agree on is we can make massive cuts in the $1.6 trillion in tax loopholes out there, and I would be going about eliminating Donald Trump’s tax cut for the wealthy."
"24","GUTHRIE: Vice President Biden, thank you. Senator Harris..."
"25","(APPLAUSE)"
"26","There's is a lot of talk in this primary about new government benefits, such as student loan cancellation, free college, health care, and more. Do you think that Democrats have a responsibility to explain how they will pay for every proposal they make along those lines?"
"27","SEN. KAMALA HARRIS (D-CALIF.): Well, let me tell you something. I hear that question, but where was that question when the Republicans and Donald Trump passed a tax bill that benefits the top 1 percent and the biggest corporations in this country?"
"28","(APPLAUSE)"
"29","Contributing at least $1 trillion to the debt of America, which middle-class families will pay for one way or another."
"30","Working families need support and need to be lifted up. And frankly, this economy is not working for working people. For too long, the rules have been written in the favor of the people who have the most and not in favor of the people who work the most, which I why I am proposing that we change the tax code, so for every family that is making less than $100,000 a year, they will receive a tax credit that they can collect up to $500 a month, which will make all the difference between those families being able to get through the end of the month with dignity and with support or not."
